IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.222.154.227	2096	2096	TRUE	SIN	Asia Pacific	Singapore	135	8.51
8.219.51.211	2086	2086	FALSE	SIN	Asia Pacific	Singapore	11	8.51
47.74.26.132	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	283	8.51
47.74.42.17	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	194	8.51
8.217.251.62	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	73	8.51
8.222.248.188	8443	8443	TRUE	SIN	Asia Pacific	Singapore	134	8.51
47.74.34.162	2086	2086	FALSE	LAX	North America	Los Angeles	173	8.5
8.218.65.237	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	35	8.5
8.222.145.110	2052	2052	FALSE	SIN	Asia Pacific	Singapore	11	8.5
8.219.5.10	443	443	TRUE	SIN	Asia Pacific	Singapore	62	8.49
8.222.212.172	2082	2082	FALSE	SIN	Asia Pacific	Singapore	25	8.49
47.91.3.135	8443	8443	TRUE	LAX	North America	Los Angeles	218	8.49
47.74.42.17	2086	2086	FALSE	SIN	Asia Pacific	Singapore	161	8.49
8.222.175.78	2086	2086	FALSE	SIN	Asia Pacific	Singapore	23	8.48
8.222.168.234	8880	8880	FALSE	SIN	Asia Pacific	Singapore	25	8.48
8.219.213.133	2086	2086	FALSE	SIN	Asia Pacific	Singapore	8	8.48
47.245.59.244	2095	2095	FALSE	LAX	North America	Los Angeles	192	8.47
8.222.168.234	2053	2053	TRUE	SIN	Asia Pacific	Singapore	78	8.47
8.219.179.34	2087	2087	TRUE	SIN	Asia Pacific	Singapore	75	8.47
47.74.18.121	2095	2095	FALSE	SIN	Asia Pacific	Singapore	171	8.47
47.74.36.154	8880	8880	FALSE	LAX	North America	Los Angeles	192	8.47
8.219.79.74	2053	2053	TRUE	SIN	Asia Pacific	Singapore	95	8.46
47.74.27.151	2086	2086	FALSE	LAX	North America	Los Angeles	178	8.46
8.219.93.5	2083	2083	TRUE	SIN	Asia Pacific	Singapore	128	8.46
47.74.7.51	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	170	8.46
8.219.82.177	2086	2086	FALSE	SIN	Asia Pacific	Singapore	35	8.46
47.245.118.197	2096	2096	TRUE	SIN	Asia Pacific	Singapore	60	8.46
47.74.54.145	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	73	8.46
47.74.15.80	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	207	8.46
8.219.121.87	2086	2086	FALSE	SIN	Asia Pacific	Singapore	16	8.46
8.219.200.145	2096	2096	TRUE	SIN	Asia Pacific	Singapore	60	8.46
47.74.3.2	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	76	8.45
47.245.54.140	8880	8880	FALSE	SIN	Asia Pacific	Singapore	178	8.45
8.209.243.172	2053	2053	TRUE	LAX	North America	Los Angeles	182	8.44
8.222.169.182	2083	2083	TRUE	SIN	Asia Pacific	Singapore	86	8.44
8.219.13.143	2095	2095	FALSE	SIN	Asia Pacific	Singapore	4	8.44
8.222.237.131	80	80	FALSE	SIN	Asia Pacific	Singapore	5	8.44
8.219.178.9	2086	2086	FALSE	SIN	Asia Pacific	Singapore	29	8.44
47.74.15.120	8080	8080	FALSE	LAX	North America	Los Angeles	183	8.44
47.245.59.188	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	94	8.44
8.210.9.129	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	41	8.44
47.74.8.238	2095	2095	FALSE	LAX	North America	Los Angeles	189	8.43
8.209.240.227	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	170	8.43
8.209.255.195	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	163	8.43
47.74.6.16	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	138	8.43
8.219.106.156	443	443	TRUE	SIN	Asia Pacific	Singapore	175	8.42
8.222.155.242	8080	8080	FALSE	SIN	Asia Pacific	Singapore	33	8.42
47.74.34.38	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	81	8.42
8.219.167.65	2083	2083	TRUE	SIN	Asia Pacific	Singapore	77	8.42
47.74.27.94	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	182	8.42
47.74.12.139	2096	2096	TRUE	LAX	North America	Los Angeles	292	8.42
8.222.253.235	2053	2053	TRUE	SIN	Asia Pacific	Singapore	109	8.41
8.222.221.197	8880	8880	FALSE	SIN	Asia Pacific	Singapore	45	8.41
8.218.8.142	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	92	8.41
